time,Temp,DAC,current 
1743191075.110,19.8903,6226,79.18
1743191075.238,19.8914,6226,73.31
1743191075.366,19.9052,6226,98.73
1743191075.494,19.8949,6226,92.86
1743191075.622,19.8945,6226,85.04
1743191075.766,19.8947,6226,90.91
1743191075.894,19.8984,6226,94.82
1743191076.023,19.8962,6226,96.77
1743191076.150,19.9010,6226,92.86
1743191076.264,19.9029,6226,90.91
1743191076.406,19.8932,6226,87.00
1743191076.534,19.8974,6226,85.04
1743191076.662,19.8894,6226,73.31
1743191076.790,19.8947,6226,92.86
1743191076.934,19.8881,6226,81.13
1743191077.062,19.8898,6226,73.31
1743191077.190,19.8870,6226,73.31
1743191077.317,19.8886,6226,75.27
1743191077.446,19.9014,6226,81.13
1743191077.570,19.8952,6226,79.18
1743191077.700,19.8915,6226,88.95
1743191077.830,19.8960,6226,73.31
1743191077.958,19.8987,6226,96.77
1743191078.101,19.8910,6226,92.86
1743191078.229,19.9006,6226,96.77
1743191078.357,19.8965,6226,73.31
1743191078.486,19.8950,6226,98.73
1743191078.613,19.8964,6226,73.31
1743191078.741,19.8994,6226,88.95
1743191078.869,19.9012,6226,75.27
1743191078.998,19.9008,6226,75.27
1743191079.125,19.8872,6226,79.18
1743191079.269,19.8892,6226,87.00
1743191079.397,19.9020,6226,77.22
1743191079.525,19.8886,6226,73.31
1743191079.652,19.8979,6226,88.95
1743191079.781,19.8957,6226,81.13
1743191079.905,19.8979,6226,79.18
1743191080.037,19.9003,6226,79.18
1743191080.165,19.8931,6226,73.31
1743191080.293,19.8876,6226,81.13
1743191080.436,19.8944,6226,79.18
1743191080.564,19.8906,6226,90.91
1743191080.692,19.8860,6226,73.31
1743191080.821,19.8955,6226,79.18
1743191080.948,19.9003,6226,85.04
1743191081.076,19.8961,6226,79.18
1743191081.204,19.8847,6226,75.27
1743191081.332,19.8972,6226,75.27
1743191081.461,19.8922,6226,79.18
1743191081.604,19.8939,6226,81.13
1743191081.732,19.8876,6226,75.27
1743191081.860,19.8937,6226,87.00
1743191081.988,19.8843,6226,96.77
1743191082.115,19.8914,6226,96.77
1743191082.244,19.8940,6226,96.77
1743191082.372,19.8925,6226,81.13
1743191082.500,19.8818,6226,79.18
1743191082.627,19.8928,6226,88.95
1743191082.772,19.8974,6226,73.31
1743191082.900,19.8882,6226,75.27
1743191083.028,19.8990,6226,79.18
1743191083.156,19.8890,6226,85.04
1743191083.283,19.8977,6226,79.18
1743191083.412,19.8879,6226,73.31
1743191083.539,19.8868,6226,98.73
1743191083.668,19.8970,6226,85.04
1743191083.795,19.8948,6226,79.18
1743191083.939,19.8944,6226,77.22
1743191084.068,19.8921,6226,98.73
1743191084.195,19.8880,6226,75.27
1743191084.316,19.8845,6226,75.27
1743191084.451,19.8851,6226,96.77
1743191084.579,19.8853,6226,79.18
1743191084.708,19.8960,6226,81.13
1743191084.835,19.8943,6226,73.31
1743191084.964,19.8935,6226,83.09
1743191085.108,19.8900,6226,75.27
1743191085.235,19.8849,6226,94.82
1743191085.363,19.8838,6226,92.86
1743191085.481,19.8934,6226,90.91
1743191085.619,19.8850,6226,98.73
1743191085.747,19.8842,6226,77.22
1743191085.875,19.8896,6226,88.95
1743191086.003,19.8930,6226,79.18
1743191086.131,19.8937,6226,96.77
1743191086.274,19.8922,6226,92.86
1743191086.402,19.8930,6226,98.73
1743191086.531,19.8959,6226,90.91
1743191086.659,19.8790,6226,94.82
1743191086.787,19.8828,6226,73.31
1743191086.915,19.8871,6226,73.31
1743191087.043,19.8839,6226,94.82
1743191087.170,19.8961,6226,79.18
1743191087.299,19.8848,6226,92.86
1743191087.442,19.8943,6226,87.00
1743191087.570,19.8826,6226,73.31
1743191087.693,19.8817,6226,81.13
1743191087.826,19.8932,6226,73.31
1743191087.954,19.8861,6226,94.82
1743191088.082,19.8853,6226,90.91
1743191088.210,19.8882,6226,98.73
1743191088.338,19.8848,6226,73.31
1743191088.466,19.8894,6226,73.31
1743191088.609,19.8902,6226,73.31
1743191088.736,19.8843,6226,73.31
1743191088.866,19.8897,6226,79.18
1743191088.994,19.8829,6226,73.31
1743191089.122,19.8898,6226,81.13
1743191089.249,19.8945,6226,88.95
1743191089.378,19.8839,6226,94.82
1743191089.506,19.8953,6226,94.82
1743191089.633,19.8948,6226,81.13
1743191089.777,19.8764,6226,98.73
1743191089.903,19.8763,6226,77.22
1743191090.034,19.8906,6226,75.27
1743191090.161,19.8902,6226,96.77
1743191090.290,19.8858,6226,75.27
1743191090.418,19.8913,6226,96.77
1743191090.545,19.8899,6226,73.31
1743191090.674,19.8793,6226,94.82
1743191090.801,19.8852,6226,96.77
1743191090.929,19.8845,6226,81.13
1743191091.072,19.8799,6226,96.77
1743191091.201,19.8820,6226,77.22
1743191091.329,19.8793,6226,96.77
1743191091.457,19.8794,6226,81.13
1743191091.585,19.8866,6226,75.27
1743191091.713,19.8793,6226,75.27
1743191091.841,19.8889,6226,81.13
1743191091.969,19.8792,6226,87.00
1743191092.097,19.8771,6226,98.73
1743191092.241,19.8897,6226,77.22
1743191092.368,19.8770,6226,92.86
1743191092.497,19.8874,6226,96.77
1743191092.624,19.8885,6226,94.82
1743191092.753,19.8901,6226,77.22
1743191092.881,19.8874,6226,79.18
1743191093.009,19.8914,6226,75.27
1743191093.136,19.8853,6226,85.04
1743191093.258,19.8799,6226,75.27
1743191093.408,19.8909,6226,98.73
1743191093.536,19.8880,6226,75.27
1743191093.664,19.8838,6226,77.22
1743191093.793,19.8794,6226,75.27
1743191093.920,19.8822,6226,96.77
1743191094.048,19.8740,6226,73.31
1743191094.176,19.8872,6226,73.31
1743191094.304,19.8777,6226,73.31
1743191094.427,19.8743,6226,73.31
1743191094.576,19.8772,6226,94.82
1743191094.704,19.8782,6226,94.82
1743191094.831,19.8830,6226,83.09
1743191094.960,19.8795,6226,98.73
1743191095.088,19.8873,6226,83.09
1743191095.216,19.8828,6226,79.18
1743191095.343,19.8835,6226,83.09
1743191095.472,19.8742,6226,98.73
1743191095.600,19.8859,6226,92.86
1743191095.744,19.8811,6226,88.95
1743191095.871,19.8867,6226,81.13
1743191096.000,19.8781,6226,73.31
1743191096.127,19.8832,6226,81.13
1743191096.255,19.8869,6226,73.31
1743191096.384,19.8849,6226,79.18
1743191096.511,19.8740,6226,94.82
1743191096.632,19.8811,6226,75.27
1743191096.767,19.8772,6226,75.27
1743191096.911,19.8729,6226,75.27
1743191097.039,19.8847,6226,92.86
1743191097.167,19.8751,6226,71.36
1743191097.295,19.8824,6226,79.18
1743191097.423,19.8785,6226,98.73
1743191097.551,19.8731,6226,79.18
1743191097.679,19.8777,6226,75.27
1743191097.801,19.8780,6226,98.73
1743191097.934,19.8745,6226,75.27
1743191098.078,19.8763,6226,96.77
1743191098.207,19.8767,6226,85.04
1743191098.335,19.8782,6226,71.36
1743191098.463,19.8859,6226,96.77
1743191098.591,19.8790,6226,77.22
1743191098.719,19.8853,6226,81.13
1743191098.846,19.8772,6226,77.22
1743191098.965,19.8779,6226,73.31
1743191099.103,19.8719,6226,81.13
1743191099.246,19.8773,6226,85.04
1743191099.374,19.8751,6226,98.73
1743191099.502,19.8801,6226,96.77
1743191099.631,19.8778,6226,81.13
1743191099.758,19.8730,6226,85.04
1743191099.887,19.8828,6226,77.22
1743191100.014,19.8798,6226,79.18
1743191100.142,19.8736,6226,77.22
1743191100.270,19.8850,6226,92.86
1743191100.414,19.8753,6226,98.73
1743191100.542,19.8708,6226,87.00
1743191100.670,19.8722,6226,94.82
1743191100.798,19.8713,6226,85.04
1743191100.926,19.8780,6226,96.77
1743191101.054,19.8703,6226,75.27
1743191101.182,19.8847,6226,81.13
1743191101.310,19.8795,6226,73.31
1743191101.432,19.8730,6226,75.27
1743191101.583,19.8815,6226,75.27
1743191101.710,19.8833,6226,77.22
1743191101.838,19.8706,6226,88.95
1743191101.966,19.8705,6226,81.13
1743191102.093,19.8765,6226,77.22
1743191102.222,19.8802,6226,81.13
1743191102.349,19.8708,6226,79.18
1743191102.477,19.8744,6226,83.09
1743191102.606,19.8794,6226,75.27
1743191102.743,19.8746,6226,77.22
1743191102.878,19.8777,6226,83.09
1743191103.005,19.8741,6226,73.31
1743191103.133,19.8708,6226,75.27
1743191103.261,19.8766,6226,83.09
1743191103.389,19.8699,6226,79.18
1743191103.517,19.8787,6226,98.73
